,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Arsenal,22,26.2,58.3,8,88,720,8,15,10,25,13,2,2,9,0,13.6,12.1,7.6,19.6,173,361,1.87,1.25,3.12,1.62,2.87,1.71,0.95,2.65,1.51,2.46,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,23,28.4,55.9,8,88,720,8,8,7,15,8,0,0,13,1,6.3,6.3,4.8,11.1,119,308,1.0,0.87,1.87,1.0,1.87,0.78,0.6,1.38,0.78,1.38,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,23,25.8,50.5,8,88,720,8,14,10,24,13,1,1,20,0,10.4,9.6,7.0,16.6,138,293,1.75,1.25,3.0,1.62,2.87,1.3,0.88,2.18,1.2,2.08,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2526,Brentford,20,25.3,41.3,8,88,720,8,11,7,18,10,1,2,15,0,10.7,9.1,7.4,16.5,103,195,1.37,0.87,2.25,1.25,2.12,1.33,0.92,2.26,1.14,2.07,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2526,Brighton,21,26.1,46.8,8,88,720,8,12,8,20,10,2,3,22,0,12.1,9.8,8.2,18.0,148,276,1.5,1.0,2.5,1.25,2.25,1.51,1.02,2.53,1.23,2.25,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,22,27.6,35.1,8,88,720,8,9,8,17,9,0,0,14,1,5.4,5.4,4.4,9.7,60,174,1.13,1.0,2.12,1.13,2.12,0.67,0.55,1.22,0.67,1.22,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2526,Chelsea,25,24.4,58.6,8,88,720,8,16,11,27,15,1,1,19,3,12.5,11.8,9.0,20.7,159,312,2.0,1.37,3.38,1.87,3.25,1.57,1.12,2.69,1.47,2.59,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,20,26.8,42.6,8,88,720,8,12,5,17,10,2,2,18,0,17.1,15.6,11.2,26.8,89,251,1.5,0.62,2.12,1.25,1.87,2.13,1.4,3.53,1.95,3.35,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,19,28.5,44.1,8,88,720,8,9,7,16,8,1,1,20,0,10.8,10.0,8.3,18.3,121,261,1.13,0.87,2.0,1.0,1.87,1.35,1.04,2.39,1.25,2.29,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,21,28.2,48.9,8,88,720,8,6,5,11,6,0,0,16,0,7.7,7.7,6.3,14.0,143,273,0.75,0.62,1.37,0.75,1.37,0.96,0.79,1.75,0.96,1.75,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,22,27.1,47.3,9,99,810,9,9,3,12,8,1,1,14,0,11.6,10.9,8.0,18.8,140,281,1.0,0.33,1.33,0.89,1.22,1.29,0.88,2.17,1.21,2.09,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,22,27.0,61.9,8,88,720,8,14,10,24,13,1,1,15,0,13.6,12.8,11.3,24.2,205,401,1.75,1.25,3.0,1.62,2.87,1.69,1.42,3.11,1.6,3.02,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,23,25.6,58.8,8,88,720,8,15,13,28,15,0,0,10,0,14.4,14.4,12.7,27.1,205,322,1.87,1.62,3.5,1.87,3.5,1.8,1.58,3.39,1.8,3.39,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,20,26.5,50.9,8,88,720,8,9,6,15,8,1,3,10,1,14.9,12.6,9.2,21.7,154,312,1.13,0.75,1.87,1.0,1.75,1.87,1.15,3.01,1.57,2.72,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle Utd,21,28.0,50.0,8,88,720,8,7,5,12,6,1,1,9,1,9.8,9.0,7.7,16.7,127,350,0.87,0.62,1.5,0.75,1.37,1.22,0.96,2.18,1.13,2.08,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nott'ham Forest,25,26.7,55.3,8,88,720,8,5,3,8,5,0,0,16,0,8.7,8.7,7.3,16.1,154,377,0.62,0.37,1.0,0.62,1.0,1.09,0.92,2.01,1.09,2.01,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,23,25.4,43.6,8,88,720,8,8,6,14,7,1,1,13,1,7.4,6.6,5.1,11.7,95,227,1.0,0.75,1.75,0.87,1.62,0.92,0.64,1.56,0.82,1.46,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham,20,25.6,55.3,8,88,720,8,13,11,24,13,0,0,17,0,8.2,8.2,6.4,14.6,153,303,1.62,1.37,3.0,1.62,3.0,1.03,0.79,1.82,1.03,1.82,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,25,27.3,47.2,9,99,810,9,7,5,12,6,1,1,14,1,7.6,6.8,5.9,12.7,102,291,0.78,0.56,1.33,0.67,1.22,0.84,0.65,1.5,0.75,1.41,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,23,26.9,48.6,8,88,720,8,4,3,7,4,0,0,14,1,6.9,6.9,4.7,11.6,101,245,0.5,0.37,0.87,0.5,0.87,0.87,0.59,1.46,0.87,1.46,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
